_id,created,name.first_name,name.last_name,register_num,Татварын тооцоолол жилээр.Жилийн нийт орлого,Татварын тооцоолол жилээр.Нийт суутгуулсан албан татварын дүн,Татварын тооцоолол жилээр.Ногдуулсан татвар,Татварын тооцоолол жилээр.Ногдуулсан татварын хувь хэмжээ,Татварын тооцоолол жилээр.Орлого хүлээн авсан сарын тоо /ажилласан сар/,Татварын тооцоолол жилээр.Сарын дундаж,Татварын тооцоолол жилээр.Татвар ногдуулах орлого,Татварын тооцоолол жилээр.Хуулийн 23,Татварын тооцоолол жилээр.Хуулийн 7,Татварын тооцоолол жилээр.Хөнгөлөлтийн дараах татварын дүн,"Татварын тооцоолол жилээр.ЭМД, НДШ Дүн","Татварын тооцоолол жилээр.ЭМД, НДШ Хувь","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Ажил олгогчийн төлөх хувь хэмжээ","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Даатгуулагчийн төлөх хувь хэмжээ","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.НДШ хувь хэмжээ","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Ногдуулсан шимтгэл/төгрөг/ - Нийт дүн","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Хөдөлмөрийн хөлс,түүнтэй адилтгах орлого /төгрөг/","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Үүнээс : Ажил олгогч","Эрүүл мэнд, нийгмийн даатгалын шимтгэл.Үүнээс : Даатгуулагч"
0,2022-10-05T15:52:26.000Z,Одцэрэн,Цэрэн,ШГ78081961,4500000,3928500,398250,10,12,1500000,3982500,,,3928500,517500,11.5,13.5,11.5,25,375000,1500000,202500,172500
1,2022-12-22T21:41:17.000Z,Мөнхгэрэл,Алдаржавхлан,УИ91110826,120000000,105768000,10620000,10,12,5000000,106200000,,,105768000,13800000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
2,2022-03-27T20:55:42.000Z,Энх-Амгалан,Энхбаатар,ЙЭ84102205,25200000,22086000,2230200,10,12,2100000,22302000,,,22086000,2898000,11.5,13.5,11.5,25,525000,2100000,283500,241500
3,2022-08-31T22:21:52.000Z,Одцэрэн,Азжаргал,ИЗ82031636,60000000,52668000,5310000,10,12,2500000,53100000,,,52668000,6900000,11.5,13.5,11.5,25,625000,2500000,337500,287500
4,2022-10-24T19:45:38.000Z,Саранцацрал,Однаран,МЛ67042618,3600000,3132000,318600,10,12,1200000,3186000,,,3132000,414000,11.5,13.5,11.5,25,300000,1200000,162000,138000
5,2022-09-17T07:09:38.000Z,Энхбаатар,Цэвэлмаа,ЦЗ71061161,37800000,33129000,3345300,10,12,2100000,33453000,,,33129000,4347000,11.5,13.5,11.5,25,525000,2100000,283500,241500
6,2022-07-06T08:49:08.000Z,Цэрэн,Янжмаа,УЮ98081115,6000000,5202000,531000,10,12,1000000,5310000,,,5202000,690000,11.5,13.5,11.5,25,250000,1000000,135000,115000
7,2022-05-06T03:06:13.000Z,Эрдэнэчимэг,Сарангэрэл,МЭ78021613,120000000,105768000,10620000,10,12,5000000,106200000,,,105768000,13800000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
8,2022-04-30T09:42:50.000Z,Мөнхбаатар,Алдаржавхлан,УШ91050511,30000000,26334000,2655000,10,12,2500000,26550000,,,26334000,3450000,11.5,13.5,11.5,25,625000,2500000,337500,287500
9,2022-01-02T19:09:02.000Z,Долгор,Янжмаа,ПИ85092000,45000000,39501000,3982500,10,12,2500000,39825000,,,39501000,5175000,11.5,13.5,11.5,25,625000,2500000,337500,287500
10,2022-07-07T06:49:00.000Z,Энхбаяр,Мөнхгэрэл,УП88081636,15000000,13221000,1327500,10,12,5000000,13275000,,,13221000,1725000,11.5,13.5,11.5,25,1250000,5000000,675000,575000
11,2022-10-03T10:18:15.000Z,Сарангэрэл,Мөнхбаатар,ТА98091450,9600000,8280000,849600,10,12,800000,8496000,,,8280000,1104000,11.5,13.5,11.5,25,200000,800000,108000,92000
